"match_id","time","home_scorer","score","away_scorer"
13327,"30","Salah M.","1 - 1",""
13446,"35","Colin M.","1 - 0",""
13446,"56","","1 - 1","Johnson D."
13446,"60","","1 - 2","Hugill J."
13446,"67","","1 - 3","Barkhuizen T."
13447,"16","Clarke J.","1 - 0",""
13447,"70","","1 - 1"," Kelly L."
13448,"27","","0 - 1"," Vydra M."
13448,"50","Woodrow C.","1 - 1",""
13448,"55","Reid B. ","2 - 1",""
13448,"83","Paterson J.","3 - 1",""
13448,"90+1","Diedhiou F.","4 - 1",""
13450,"39","","0 - 1","Hooper G."
13450,"90+5","Bamba S.","1 - 1",""
13453,"2","","0 - 1","Wheeler D."
13453,"36","Baker L.","1 - 1",""
13453,"50","","1 - 2","Mackie J."
13453,"55","Fletcher A.","2 - 2",""
13453,"60","Assombalonga B.","3 - 2",""
13454,"73","O'Brien A.","1 - 0",""
13456,"23","","0 - 1","Wildschut Y."
16523,"49","","0 - 1"," Bamba J."
16527,"44","Rony Lopes","1 - 0",""
16527,"51","Falcao","2 - 0",""
16527,"67","Falcao","3 - 0",""
17681,"17","Werner T.","1 - 0",""
17681,"25","","1 - 1"," Hazard T."
17681,"31","Augustin J.","2 - 1",""
17681,"61","","2 - 2","Stindl L."
17682,"11","Muller T.","1 - 0",""
17682,"23","Robben A.","2 - 0",""
17682,"50","Lewandowski R.","3 - 0",""
17682,"77","Lewandowski R.","4 - 0",""
17683,"79","Jovic L.","1 - 2",""
17684,"20","Sane L.","1 - 0",""
24600,"22","Nainggolan R.","1 - 0",""
24600,"33","Dzeko E.","2 - 0",""
24600,"61","Dzeko E.","3 - 0",""
24601,"51","Chiesa F.","1 - 0",""
24601,"69","Pezzella G.","2 - 1",""
30354,"4","Mokhtar Y.","1 - 0",""
30354,"78","","1 - 1","Monteiro J."
30354,"85","Mokhtar Y.","2 - 1",""
41195,"39","Shibasaki G.","1 - 0",""
41196,"31","","0 - 1","Rodrigo"
41196,"41","Bardhi E.","1 - 1",""
41313,"10","Mata J.","1 - 0",""
41313,"80","Gianniotas G.","2 - 0",""
41313,"84","","2 - 1","Pedro"
45297,"44","Gomis B.","1 - 0",""
45297,"78","Gomis B.","2 - 0",""
45387,"3","Poepon R.","1 - 0",""
45387,"23","Cakmak I.","2 - 0",""
45387,"70","Cakmak I.","3 - 0",""
45387,"85","","3 - 1","Cicek A."
13323,"4","Valencia A.","1 - 0",""
13323,"83","Mkhitaryan H.","2 - 0",""
13323,"89","Lukaku R.","3 - 0",""
13323,"90+2","Martial A. ","4 - 0",""
16519,"75","Marcelo","1 - 0",""
16519,"86","Morel J.","2 - 0",""
16520,"55","","0 - 1","Roux N."
16521,"79","","0 - 1","Balotelli M."
16522,"52","","0 - 1","N'Jie C."
16522,"55","","0 - 2","N'Jie C."
17678,"2","Philipp M.","1 - 0",""
17678,"45+2","Sokratis","2 - 0",""
17678,"59","Aubameyang P. ","3 - 0",""
17678,"60","Aubameyang P.","4 - 0",""
17678,"69","Philipp M.","5 - 0",""
17679,"21","Volland K.","1 - 0",""
17679,"29","Aranguiz","2 - 0",""
17679,"34","Volland K.","3 - 0",""
17679,"86","Brandt J.","4 - 0",""
17680,"6","Wagner S.","1 - 0",""
24593,"13","","0 - 1","Bastos"
24593,"57","Pellegri P.","1 - 1",""
24593,"70","","1 - 2","Immobile C."
24593,"73","Pellegri P.","2 - 2",""
24593,"82","","2 - 3","Immobile C."
24595,"22","Kalinic N.","1 - 0",""
24595,"31","Kalinic N.","2 - 1",""
24597,"17","","0 - 1","Barella N."
24597,"68","","0 - 2","Joao Pedro"
24598,"13","Baselli D.","1 - 1",""
24598,"15","Belotti A.","2 - 1",""
24599,"51","Politano M.","1 - 2",""
30350,"2","Pereiro G.","1 - 0",""
30351,"47","Matavz T.","1 - 0",""
30351,"90","","1 - 1"," Leemans C."
30352,"28","","0 - 1","Veltman J."
30352,"71","Johnsen B.","1 - 1",""
30353,"9","Boere T.","1 - 0",""
30353,"18","Lam T.","2 - 0",""
30353,"35","Slagveer L.","3 - 0",""
30353,"75","Assaidi O.","4 - 0",""
41189,"28","Rodrigues K.","1 - 1",""
41192,"32","","0 - 1","Bakambu C."
41192,"52","","0 - 2","Bacca C."
41192,"62","","0 - 3","Bakambu C."
45292,"17","","0 - 1","Janssen V."
45292,"42","Akbaba E.","1 - 1",""
45292,"45+2","","1 - 2","Valbuena M."
45292,"60","","1 - 3"," Giuliano"
45292,"90+5","","1 - 4","Valbuena M."
45293,"37","Scarione E.","1 - 0",""
45293,"38","Bingol T.","2 - 0",""
45293,"41","","2 - 1","Skuletic P."
45293,"76","Jahovic A.","3 - 1",""
45293,"87","","3 - 2","Ozkan S."
45294,"15","","0 - 1"," Yilmaz B."
45294,"36","Belozoglu E. ","1 - 1",""
45294,"49","","1 - 2","Yilmaz B."
45294,"79","Erdinc M.","2 - 2",""
45384,"12","","0 - 1","Parlak I."
45384,"19","Samudio B. ","1 - 1",""
45384,"48","","1 - 2","Kubalas A."
45384,"89","","1 - 3","Ozer K."
45384,"90+2","","1 - 4","Parlak I."
41188,"10","Moreno G.","1 - 0",""
41188,"24","Piatti P.","2 - 0",""
41188,"69","","2 - 1","Sisto P."
45291,"10","Tosun C.","1 - 0",""
45291,"66","Quaresma R.","2 - 0",""
45381,"69","","0 - 1","Vasilogiannis A."
45381,"90+1","Mezenga B.","1 - 1",""
17674,"4","Gregoritsch M.","1 - 0",""
17676,"28","Origi D.","1 - 0",""
24592,"32","Verdi S.","1 - 0",""
30645,"63","Seys D.","1 - 0",""
41186,"20","Messi L. ","1 - 0",""
41186,"38","Paulinho","2 - 0",""
41186,"53","Suarez D.","3 - 0",""
41186,"57","","3 - 1","Enrich S."
