"match_awayteam_id","match_hometeam_id","match_id","epoch","match_status","match_live","match_hometeam_name","match_awayteam_name","match_hometeam_score","match_awayteam_score","match_hometeam_halftime_score","match_awayteam_halftime_score","match_hometeam_extra_score","match_awayteam_extra_score","match_hometeam_penalty_score","match_awayteam_penalty_score","league_id"
7109,7097,41196,1505559600,"Finished",0,"Levante","Valencia",1,1,1,1,1,1,NA,NA,468
2614,2619,13331,1505561400,"Finished",0,"Crystal Palace","Southampton",0,1,0,1,0,1,NA,NA,148
3224,3238,17683,1505568600,"Finished",0,"Eintracht Frankfurt","FC Augsburg",1,2,0,1,0,1,NA,NA,195
3235,3223,17684,1505568600,"Finished",0,"SV Werder Bremen","Schalke",1,2,1,1,1,1,NA,NA,195
3237,3225,17682,1505568600,"Finished",0,"Bayern Munich","1. FSV Mainz 05",4,0,2,0,2,0,NA,NA,195
2626,2623,13329,1505570400,"Finished",0,"Watford","Manchester City",0,6,0,3,0,3,NA,NA,148
2629,2621,13327,1505570400,"Finished",0,"Liverpool","Burnley",1,1,1,1,1,1,NA,NA,148
2641,2654,13456,1505570400,"Finished",0,"Sheffield Utd","Norwich",0,1,0,1,0,1,NA,NA,148
2642,2650,13448,1505570400,"Finished",0,"Bristol City","Derby",4,1,0,1,0,1,NA,NA,149
2643,2631,13446,1505570400,"Finished",0,"Birmingham","Preston",1,3,1,0,1,0,NA,NA,149
2645,2648,13453,1505570400,"Finished",0,"Middlesbrough","QPR",3,2,1,1,1,1,NA,NA,149
2647,2644,13447,1505570400,"Finished",0,"Brentford","Reading",1,1,1,0,1,0,NA,NA,149
2651,2637,13450,1505570400,"Finished",0,"Cardiff","Sheffield Wed",1,1,0,1,0,1,NA,NA,149
2653,2638,13454,1505570400,"Finished",0,"Millwall","Leeds",1,0,0,0,0,0,NA,NA,149
7110,7115,41313,1505570400,"Finished",0,"Valladolid","Granada CF",2,1,1,0,1,0,NA,NA,468
7625,7624,45387,1505570400,"Finished",0,"Boluspor","Adana Demirspor",3,1,2,0,2,0,NA,NA,512
7105,7100,41195,1505571300,"Finished",0,"Getafe","Barcelona",1,2,1,0,1,0,NA,NA,468
3036,3039,16527,1505574000,"Finished",0,"Monaco","Strasbourg",3,0,1,0,1,0,NA,NA,176
4185,4173,24601,1505577600,"Finished",0,"Fiorentina","Bologna",2,1,0,0,0,0,NA,NA,262
3234,3226,17681,1505579400,"Finished",0,"RB Leipzig","B. Monchengladbach",2,2,2,1,2,1,NA,NA,195
7619,7606,45297,1505581200,"Finished",0,"Galatasaray","Kasimpasa",2,0,1,0,1,0,NA,NA,511
3025,3030,16523,1505584800,"Finished",0,"Dijon","St Etienne",0,1,0,0,0,0,NA,NA,176
4188,4184,24600,1505587500,"Finished",0,"AS Roma","Verona",3,0,2,0,2,0,NA,NA,262
5090,5088,30354,1505587500,"Finished",0,"Zwolle","Heracles",2,1,1,0,1,0,NA,NA,343
7107,7108,41192,1505642400,"Finished",0,"Alaves","Villarreal",0,3,0,1,0,1,NA,NA,468
4187,4175,24599,1505644200,"Finished",0,"Sassuolo","Juventus",1,3,0,1,0,1,NA,NA,262
3231,3233,17680,1505647800,"Finished",0,"Hoffenheim","Hertha Berlin",1,1,1,0,1,0,NA,NA,195
2617,2616,13324,1505651400,"Finished",0,"Chelsea","Arsenal",0,0,0,0,0,0,NA,NA,148
5082,5094,30353,1505651400,"Finished",0,"Twente","Utrecht",4,0,3,0,3,0,NA,NA,343
5087,5089,30352,1505651400,"Finished",0,"Den Haag","Ajax",1,1,0,1,0,1,NA,NA,343
3023,3033,16522,1505653200,"Finished",0,"Amiens","Marseille",0,2,0,0,0,0,NA,NA,176
4171,4178,24597,1505653200,"Finished",0,"Spal","Cagliari",0,2,0,1,0,1,NA,NA,262
4176,4170,24598,1505653200,"Finished",0,"Torino","Sampdoria",2,2,2,2,2,2,NA,NA,262
4180,4186,24595,1505653200,"Finished",0,"AC Milan","Udinese",2,1,2,1,2,1,NA,NA,262
3222,3227,17679,1505655000,"Finished",0,"Bayer Leverkusen","SC Freiburg",4,0,3,0,3,0,NA,NA,195
7605,7615,45294,1505656800,"Finished",0,"Basaksehir","Trabzonspor",2,2,1,1,1,1,NA,NA,511
7621,7623,45384,1505656800,"Finished",0,"Rizespor","Ankaragucu",1,4,1,1,1,1,NA,NA,511
5091,5084,30351,1505659500,"Finished",0,"Vitesse","Venlo",1,1,0,0,0,0,NA,NA,343
5093,5085,30350,1505659500,"Finished",0,"PSV","Feyenoord",1,0,1,0,1,0,NA,NA,343
2612,2627,13323,1505660400,"Finished",0,"Manchester United","Everton",4,0,1,0,1,0,NA,NA,148
3027,3037,16520,1505660400,"Finished",0,"Angers","Metz",0,1,0,0,0,0,NA,NA,176
3041,3035,16521,1505660400,"Finished",0,"Rennes","Nice",0,1,0,0,0,0,NA,NA,176
3228,3230,17678,1505664000,"Finished",0,"Dortmund","FC Koln",5,0,2,0,2,0,NA,NA,195
7603,7613,45292,1505667600,"Finished",0,"Alanyaspor","Fenerbahce",1,4,1,2,1,2,NA,NA,511
7617,7620,45293,1505667600,"Finished",0,"Goztepe","Genclerbirligi",3,2,2,1,2,1,NA,NA,511
4183,4179,24593,1505673900,"Finished",0,"Genoa","Lazio",2,3,0,1,0,1,NA,NA,262
7099,7101,41189,1505673900,"Finished",0,"Real Sociedad","Real Madrid",1,3,1,2,1,2,NA,NA,468
3026,3040,16519,1505674800,"Finished",0,"Paris SG","Lyon",2,0,0,0,0,0,NA,NA,176
7611,7614,45291,1505754000,"Finished",0,"Besiktas","Konyaspor",2,0,1,0,1,0,NA,NA,511
7628,7634,45381,1505754000,"Finished",0,"Eskisehirspor","Umraniyespor",1,1,0,0,0,0,NA,NA,512
7095,7090,41188,1505761200,"Finished",0,"Espanyol","Celta Vigo",2,1,2,0,2,0,NA,NA,468
5080,5114,30645,1505838600,"Finished",0,"Waalwijk","Sparta Rotterdam",1,0,0,0,0,0,NA,NA,343
3223,3236,17676,1505845800,"Finished",0,"Wolfsburg","SV Werder Bremen",1,1,1,0,1,0,NA,NA,195
3225,3235,17675,1505845800,"Finished",0,"Schalke","Bayern Munich",0,3,0,2,0,2,NA,NA,195
3226,3224,17674,1505845800,"Finished",0,"FC Augsburg","RB Leipzig",1,0,1,0,1,0,NA,NA,195
4189,4185,24592,1505846700,"Finished",0,"Bologna","Inter",1,1,1,0,1,0,NA,NA,262
7096,7105,41186,1505851200,"Finished",0,"Barcelona","Eibar",6,1,2,0,2,0,NA,NA,468
3238,3228,17673,1505925000,"Finished",0,"FC Koln","Eintracht Frankfurt",0,1,0,1,0,1,NA,NA,195
7106,7104,41184,1505930400,"Finished",0,"Ath Bilbao","Atl. Madrid",1,2,0,0,0,0,NA,NA,468
3227,3231,17671,1505932200,"Finished",0,"Hertha Berlin","Bayer Leverkusen",2,1,2,0,2,0,NA,NA,195
3233,3237,17669,1505932200,"Finished",0,"1. FSV Mainz 05","Hoffenheim",2,3,2,2,2,2,NA,NA,195
4170,4180,24589,1505933100,"Finished",0,"Udinese","Torino",2,3,0,2,0,2,NA,NA,262
4173,4187,24587,1505933100,"Finished",0,"Juventus","Fiorentina",1,0,0,0,0,0,NA,NA,262
4174,4183,24588,1505933100,"Finished",0,"Lazio","Napoli",1,4,1,0,1,0,NA,NA,262
4175,4171,24585,1505933100,"Finished",0,"Cagliari","Sassuolo",0,1,0,0,0,0,NA,NA,262
4176,4188,24590,1505933100,"Finished",0,"Verona","Sampdoria",0,0,0,0,0,0,NA,NA,262
4178,4186,24583,1505933100,"Finished",0,"AC Milan","Spal",2,0,1,0,1,0,NA,NA,262
5089,5093,30620,1505933100,"Finished",0,"Feyenoord","Den Haag",2,0,0,0,0,0,NA,NA,343
7091,7099,41181,1505937600,"Finished",0,"Real Madrid","Betis",0,1,0,0,0,0,NA,NA,468
7090,7107,41180,1506016800,"Finished",0,"Villarreal","Espanyol",0,0,0,0,0,0,NA,NA,468
7100,7095,41179,1506020400,"Finished",0,"Celta Vigo","Getafe",1,1,1,0,1,0,NA,NA,468
7101,7097,41178,1506024000,"Finished",0,"Levante","Real Sociedad",3,0,1,0,1,0,NA,NA,468
3037,3041,16518,1506099600,"Finished",0,"Nice","Angers",2,2,1,2,1,2,NA,NA,176
