"match_id","home_BallPossession","home_CornerKicks","home_Fouls","home_GoalAttempts","home_GoalkeeperSaves","home_Offsides","home_ShotsoffGoal","home_ShotsonGoal","home_YellowCards","away_BallPossession","away_CornerKicks","away_Fouls","away_GoalAttempts","away_GoalkeeperSaves","away_Offsides","away_ShotsoffGoal","away_ShotsonGoal","away_YellowCards","home_BlockedShots","away_BlockedShots","home_FreeKicks","away_FreeKicks","home_Throw-in","away_Throw-in","home_RedCards","away_RedCards","home_Tackles","home_TotalPasses","away_Tackles","away_TotalPasses","home_CompletedPasses","away_CompletedPasses","home_GoalKicks","away_GoalKicks","home_DistanceCovered(metres)","away_DistanceCovered(metres)","home_PassSuccess%","away_PassSuccess%","home_Attacks","home_DangerousAttacks","away_Attacks","away_DangerousAttacks"
13327,"71%",12,7,35,3,1,14,9,1,"29%",2,9,5,8,5,1,4,2,12,0,14,8,NA,NA,NA,NA,6,676,11,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13329,"33%",3,8,7,4,2,5,1,2,"67%",11,6,28,1,0,10,10,0,1,8,6,9,NA,NA,NA,NA,7,312,19,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13331,"45%",5,14,14,3,0,9,3,5,"55%",5,13,13,3,1,4,4,1,2,5,14,14,NA,NA,NA,NA,15,398,14,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13446,"51%",7,7,6,3,0,4,2,2,"49%",5,18,14,1,2,5,6,4,0,3,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13447,"49%",3,18,20,1,1,8,6,3,"51%",6,17,10,5,3,5,2,4,6,3,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13448,"54%",5,18,25,1,0,8,9,1,"46%",6,13,11,5,0,5,2,2,8,4,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13450,"40%",6,5,16,1,3,4,8,1,"60%",3,9,8,7,0,6,2,2,4,0,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13453,"64%",6,17,16,0,3,5,8,4,"36%",1,14,10,5,4,7,2,4,3,1,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13454,"46%",14,12,20,0,3,7,6,1,"54%",2,13,1,5,1,1,0,3,7,0,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13456,"68%",6,7,17,2,1,6,4,2,"32%",2,14,11,4,1,3,3,5,7,5,15,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16523,"52%",1,13,18,5,2,11,7,3,"48%",4,14,16,7,2,8,6,3,0,2,15,14,NA,NA,NA,NA,NA,422,NA,396,329,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16527,"59%",5,13,14,1,2,5,5,2,"41%",5,12,11,2,1,6,1,2,4,4,13,15,NA,NA,NA,NA,NA,493,NA,321,416,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17681,"51%",3,14,10,1,3,6,3,1,"49%",2,11,10,1,3,6,3,1,1,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17682,"69%",10,9,27,4,1,8,14,2,"31%",5,5,11,10,1,5,4,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17683,"61%",4,12,23,1,1,9,8,2,"39%",4,10,11,7,3,4,3,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17684,"50%",6,14,17,2,1,9,2,2,"50%",5,17,11,1,2,5,4,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24600,"64%",6,7,30,0,0,10,10,1,"36%",1,12,8,7,6,6,0,3,10,2,16,7,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24601,"57%",7,16,15,1,1,9,3,1,"43%",3,8,6,1,2,4,2,3,3,0,10,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30354,"47%",8,17,21,3,2,7,7,5,"53%",4,15,7,5,2,0,4,3,7,3,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41195,"30%",3,15,13,3,4,7,4,2,"70%",4,14,7,3,5,1,5,4,2,1,19,19,12,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41196,"46%",1,21,9,4,2,2,2,2,"54%",3,11,13,1,6,6,5,1,5,2,16,23,27,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41313,"51%",8,17,17,2,4,5,10,6,"49%",7,11,10,8,2,5,3,3,2,2,20,15,19,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45297,"57%",11,14,14,2,3,6,8,1,"43%",2,11,7,6,4,5,2,4,NA,NA,18,18,24,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45387,"48%",5,NA,13,3,NA,5,8,4,"52%",5,NA,7,5,NA,3,4,1,NA,NA,10,20,33,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13323,"49%",4,15,16,3,2,5,7,1,"51%",1,14,7,3,3,2,3,1,4,2,16,17,NA,NA,NA,NA,14,476,22,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13324,"51%",5,11,13,2,4,3,4,2,"49%",1,15,11,4,2,5,2,3,6,4,17,14,NA,NA,1,0,13,527,18,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16519,"70%",9,11,14,5,0,8,5,3,"30%",4,15,13,3,3,6,5,2,1,2,17,11,NA,NA,NA,NA,NA,686,NA,293,625,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16520,"53%",4,14,18,4,2,8,5,1,"47%",5,14,10,5,1,4,5,3,5,1,16,16,NA,NA,NA,NA,NA,448,NA,403,358,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16521,"49%",6,17,17,2,0,8,4,1,"51%",5,17,6,4,5,1,3,5,5,2,20,17,NA,NA,NA,NA,NA,486,NA,510,424,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16522,"49%",6,11,8,4,2,4,3,2,"51%",3,15,22,3,0,8,6,3,1,8,15,13,NA,NA,NA,NA,NA,364,NA,401,253,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17678,"70%",8,11,22,2,1,12,8,0,"30%",5,10,6,3,5,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17679,"63%",5,4,22,1,4,9,9,0,"37%",4,12,4,5,0,3,1,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17680,"57%",5,14,8,3,1,3,2,2,"43%",2,21,9,1,1,2,4,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24593,"45%",2,10,5,3,3,1,4,1,"55%",1,12,18,2,0,9,6,2,0,3,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24595,"58%",10,13,21,1,5,10,7,1,"42%",3,10,4,5,2,2,2,2,4,0,12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24597,"49%",7,12,12,1,1,4,3,1,"51%",4,21,11,3,1,6,3,3,5,2,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24598,"48%",3,14,13,3,7,7,3,2,"52%",6,15,11,1,1,6,5,1,3,0,16,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24599,"38%",3,15,13,3,2,6,4,1,"62%",4,14,14,3,1,5,6,2,3,3,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
